HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Truro City,Farnborough,3,1,1,1
Weston-super-Mare,Hemel Hempstead Town,1,1,1,0
Worthing,Weymouth,2,0,0,0
Aveley,Hampton & Richmond,3,0,0,1
Alfreton Town,Scunthorpe United,2,2,1,1
Boston United,Blyth Spartans,3,1,1,1
Brackley Town,Warrington Town,2,0,0,0
Buxton,Darlington,5,0,0,1
Chorley,Bishop's Stortford,2,1,1,1
Curzon Ashton,Tamworth,0,1,0,0
Farsley Celtic,King's Lynn Town,0,0,0,0
Hereford,Southport,0,1,0,0
Rushall Olympic,Peterborough Sports,1,0,0,0
Scarborough Athletic,Gloucester City,1,1,1,0
South Shields FC,Banbury United,4,0,0,1
Spennymoor Town,Chester,1,1,1,0
Aveley,Torquay United,2,1,1,1
Bath City,Havant & Waterlooville,2,0,0,0
Braintree Town,Worthing,4,0,0,1
Dover Athletic,Chippenham Town,1,1,1,0
Eastbourne Borough,Weston-super-Mare,2,1,1,1
Farnborough,Hampton & Richmond,3,1,1,1
Hemel Hempstead Town,Truro City,0,0,0,0
Slough Town,Tonbridge Angels,2,5,1,1
Taunton Town,Dartford,1,0,0,0
Welling United,St Albans City,0,0,0,0
Weymouth,Maidstone United,2,3,1,1
Yeovil Town,Chelmsford City,1,1,1,0
Chelmsford City,Hemel Hempstead Town,1,2,1,1
Banbury United,Alfreton Town,0,0,0,0
Bishop's Stortford,Rushall Olympic,1,4,1,1
Blyth Spartans,Farsley Celtic,4,0,0,1
Chester,Hereford,1,2,1,1
Darlington,Boston United,0,0,0,0
Gloucester City,Buxton,0,0,0,0
King's Lynn Town,Brackley Town,2,2,1,1
Peterborough Sports,Curzon Ashton,1,1,1,0
Scunthorpe United,South Shields FC,3,1,1,1
Southport,Scarborough Athletic,3,1,1,1
Tamworth,Chorley,2,1,1,1
Warrington Town,Spennymoor Town,3,3,1,1
Chippenham Town,Taunton Town,3,3,1,1
Dartford,Slough Town,1,2,1,1
Hampton & Richmond,Weymouth,1,0,0,0
Maidstone United,Aveley,0,1,0,0
St Albans City,Dover Athletic,2,0,0,0
Tonbridge Angels,Braintree Town,0,0,0,0
Torquay United,Farnborough,3,0,0,1
Truro City,Bath City,1,1,1,0
Weston-super-Mare,Yeovil Town,2,3,1,1
Worthing,Welling United,2,0,0,0
Havant & Waterlooville,Eastbourne Borough,1,2,1,1
