timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627732800,Jul 31 2021 - 12:00pm,complete,N/A,Magdeburg,Freiburg II,Tom Bauer,2,0.00,0.00,2.39,0.94,0,0,0,0,0,0,"","",4,0,1,0,2,0,1,0,0,2,11,3,9,0,2,3,16,17,59,41,1.97,0.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,2.35,1.22,1.65,2.50,4.15,1.62,2.20,MDCC-Arena (Magdeburg)
1627732800,Jul 31 2021 - 12:00pm,complete,N/A,Wehen Wiesbaden,1860 München,Florian Badstübner,2,0.00,0.00,1.33,1.67,0,0,0,0,0,0,"","",6,6,0,0,1,0,0,0,0,1,9,2,5,0,4,2,12,6,49,51,1.37,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.10,2.40,1.36,1.95,3.20,6.00,1.77,2.00,BRITA-Arena (Wiesbaden)
1627732800,Jul 31 2021 - 12:00pm,complete,N/A,Saarbrucken,Osnabrück,Lars Erbst,2,0.00,0.00,1.61,1.72,1,2,3,3,1,2,"13","6,43",9,1,5,0,2,1,3,2,2,1,9,8,5,3,4,5,15,9,67,33,1.40,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.45,3.10,1.33,1.91,3.15,5.75,1.80,2.00,Stadion Ludwigspark (Saarbrücken)
1627732800,Jul 31 2021 - 12:00pm,complete,N/A,Borussia Dortmund II,Waldhof Mannheim,Riem Hussein,2,0.00,0.00,1.00,1.72,1,1,2,1,1,0,"16","61",3,4,2,0,5,0,0,2,1,4,10,9,5,3,5,6,13,19,55,45,1.47,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.30,2.55,1.25,1.67,2.55,4.40,1.54,2.40,Stadion Rote Erde (Dortmund)
1627815600,Aug 01 2021 - 11:00am,canceled,N/A,Türkgücü-Ataspor,Hallescher FC,Benjamin Cortus,2,0.00,0.00,0.00,0.83,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,3.52,2.88,1.31,1.80,3.10,5.25,1.74,2.05,Sportpark Heimstetten (Kirchheim bei München)
1627819200,Aug 01 2021 - 12:00pm,complete,N/A,Eintracht Braunschweig,Viktoria Berlin,Wolfgang Haslberger,2,0.00,0.00,1.67,0.72,0,4,4,2,0,2,"","5,31,65,69",3,3,1,0,1,0,0,1,1,0,5,6,2,6,3,0,5,9,45,55,0.80,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.20,3.65,1.39,2.05,3.45,6.75,1.91,1.87,Eintracht-Stadion (Braunschweig)
1627923600,Aug 02 2021 - 5:00pm,complete,N/A,Würzburger Kickers,Verl,Mitja Stegemann,2,0.00,0.00,0.61,1.11,0,1,1,0,0,0,"","72",2,10,2,0,4,0,1,1,1,3,8,10,3,7,5,3,11,21,53,47,1.26,1.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.20,2.65,1.31,1.87,2.95,5.50,1.71,2.10,flyeralarm-Arena (Würzburg)
1628420400,Aug 08 2021 - 11:00am,complete,N/A,MSV Duisburg,Havelse,Patrick Kessel,2,0.00,0.00,1.28,0.56,3,0,3,1,1,0,"26,66,68","",5,5,2,0,2,0,2,0,1,1,13,5,7,3,6,2,8,10,58,42,1.78,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.50,6.25,1.30,1.80,3.00,5.50,1.83,1.95,Schauinsland-Reisen-Arena (Duisburg)
1628874000,Aug 13 2021 - 5:00pm,complete,N/A,Freiburg II,Borussia Dortmund II,Wolfgang Haslberger,3,1.00,3.00,1.67,1.72,2,5,7,5,2,3,"12,34","14,16,22,59,90'5",3,7,4,0,2,0,1,3,2,0,11,9,4,7,7,2,9,11,53,47,1.43,1.54,1.50,50,50,50,0,0,50,50,0,50,5.00,6.00,2.90,3.20,2.35,1.29,1.80,2.85,5.00,1.67,2.15,Möslestadion (Freiburg im Breisgau)
1628942400,Aug 14 2021 - 12:00pm,canceled,N/A,1860 München,Türkgücü-Ataspor,Daniel Schlager,3,3.00,0.00,1.72,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.50,0,0,0,0,0,0,50,0,0,4.00,1.00,1.91,3.30,3.90,1.32,1.87,3.05,5.50,1.80,2.00,Städtisches Stadion an der Grünwalder Straße (München)
1628942400,Aug 14 2021 - 12:00pm,complete,6028,Osnabrück,Wehen Wiesbaden,Mitja Stegemann,3,0.00,1.00,1.50,1.50,0,1,1,0,0,0,"","90'3",4,6,1,0,6,0,0,1,2,4,9,7,2,5,7,2,22,15,57,43,1.22,1.26,0.00,0,0,0,0,0,0,0,0,0,10.00,1.00,2.50,3.15,2.70,1.31,1.87,2.95,5.50,1.71,2.10,Bremer Brücke (Osnabrück)
1628942400,Aug 14 2021 - 12:00pm,complete,3139,Havelse,Magdeburg,Robin Braun,3,0.00,3.00,0.72,1.94,1,3,4,1,0,1,"48","36,85,90'4",1,8,1,1,2,0,2,0,1,1,7,15,4,9,3,6,20,8,34,66,1.05,2.49,1.50,0,50,0,0,0,50,100,0,0,9.00,8.00,5.75,3.75,1.57,1.35,2.00,3.35,6.75,2.10,1.71,Wilhelm-Langrehr-Stadion (Garbsen)
1628942400,Aug 14 2021 - 12:00pm,complete,N/A,Saarbrucken,MSV Duisburg,Florian Exner,3,0.00,0.00,1.61,1.06,2,0,2,2,2,0,"27,35","",5,3,2,0,3,0,0,2,0,3,12,4,4,3,8,1,13,16,56,44,1.58,0.72,1.50,50,50,50,0,0,50,50,0,0,9.00,5.00,1.91,3.35,3.95,1.26,1.71,2.65,4.55,1.62,2.25,Stadion Ludwigspark (Saarbrücken)
1628942400,Aug 14 2021 - 12:00pm,complete,N/A,Zwickau,Meppen,Riem Hussein,3,0.00,0.00,1.33,1.22,1,1,2,1,1,0,"17","59",5,7,2,0,4,0,0,2,2,2,8,9,2,4,6,5,15,18,54,46,1.03,1.45,3.50,100,100,100,50,0,100,100,0,50,18.00,5.00,2.10,3.10,3.55,1.34,1.95,3.15,6.00,1.77,2.00,GGZ Arena (Zwickau)
1628942400,Aug 14 2021 - 12:00pm,complete,N/A,Verl,Viktoria Köln,Steven Greif,3,0.00,0.00,1.11,1.00,3,1,4,3,2,1,"29,34,52","22",3,2,0,0,3,0,0,0,0,3,14,10,8,7,6,3,11,15,47,53,1.89,1.69,1.50,50,50,50,0,0,50,50,0,0,4.00,1.00,2.10,3.25,3.35,1.36,2.00,3.30,6.00,1.83,1.95,Stadion am Lotter Kreuz (Lotte)
1629025200,Aug 15 2021 - 11:00am,complete,N/A,Viktoria Berlin,Kaiserslautern,Konrad Oldhfer,3,3.00,0.00,1.33,1.28,4,0,4,2,2,0,"3,45'1,52,84","",5,4,2,0,2,0,1,1,1,1,16,9,8,2,8,7,11,8,45,55,2.03,1.20,2.00,50,50,50,0,0,50,100,0,0,7.00,3.00,3.38,3.50,2.10,1.30,1.90,3.20,5.75,1.80,1.95,Friedrich-Ludwig-Jahn-Sportpark (Berlin)
