timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1662908400,Sep 11 2022 - 3:00pm,complete,N/A,Arenteiro,Bergantiños,N/A,2,1.00,0.00,2.33,0.89,1,1,2,1,1,0,"31","87",5,2,1,0,2,1,1,0,2,1,7,7,2,2,5,5,-1,-1,50,50,0.92,0.75,1.50,50,50,50,0,0,50,50,0,50,12.00,0.00,2.10,3.10,3.20,1.48,2.70,0.00,0.00,0.00,0.00,Estadio O Couto
1662910200,Sep 11 2022 - 3:30pm,complete,N/A,CD Laredo,Zamora CF,N/A,2,3.00,0.00,1.00,1.11,1,0,1,1,1,0,"45","",3,8,3,0,1,1,1,2,1,1,8,14,6,7,2,7,-1,-1,37,63,1.10,1.63,1.50,50,50,50,0,0,0,50,50,50,3.00,5.00,3.25,3.00,2.10,1.47,2.50,0.00,0.00,0.00,0.00,Campo San Pedro
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,Gimnástica Torrelavega,Real Oviedo II,N/A,2,3.00,3.00,1.30,0.78,2,1,3,1,0,1,"78,83","43",10,1,6,0,4,2,2,4,2,4,16,9,8,3,8,6,-1,-1,51,49,1.82,1.03,3.00,100,100,100,0,0,50,100,50,100,8.00,6.00,1.95,3.25,3.40,0.00,2.35,0.00,0.00,0.00,0.00,Estadio El Malecón
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,Real Avilés,Coruxo,N/A,2,1.00,1.00,1.67,1.44,0,1,1,0,0,0,"","59",10,3,2,0,4,0,2,0,2,2,18,4,7,2,11,2,-1,-1,61,39,1.96,0.63,0.00,0,0,0,0,0,0,0,0,0,6.00,-2.00,2.00,3.20,3.30,0.00,2.40,0.00,0.00,0.00,0.00,Estadio Román Suárez Puerta
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,Club Marino de Luanco,Ourense CF,N/A,2,1.00,0.00,1.67,1.67,1,0,1,0,0,0,"87","",6,3,3,0,4,2,0,3,2,4,12,10,3,4,9,6,-1,-1,55,45,1.32,1.24,1.50,50,50,50,0,0,0,0,0,0,10.00,-2.00,1.80,3.50,3.60,1.50,2.35,0.00,0.00,0.00,0.00,Estadi Municipal de Miramar
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,SD Compostela,Burgos Promesas,N/A,2,0.00,1.00,1.50,0.89,2,1,3,2,1,1,"44,9003","21",3,3,2,0,2,0,1,1,1,1,17,8,6,4,11,4,-1,-1,68,32,1.88,1.01,1.50,50,50,50,0,0,0,50,50,50,7.00,-2.00,1.73,3.20,4.50,0.00,2.25,0.00,0.00,0.00,0.00,Estadio Multiusos de San Lázaro
1663495200,Sep 18 2022 - 10:00am,complete,N/A,Real Oviedo II,Burgos Promesas,N/A,3,1.50,0.50,0.78,0.89,4,0,4,2,2,0,"23,31,58,60","",6,4,-1,-1,-1,-1,-1,-1,-1,-1,19,12,11,6,8,6,-1,-1,58,42,2.24,1.40,2.25,75,75,75,0,0,25,75,50,75,5.50,4.00,2.12,3.14,3.38,1.41,2.30,4.35,8.75,1.90,1.79,Estadio El Requexón
1663513200,Sep 18 2022 - 3:00pm,complete,N/A,Bergantiños,Real Avilés,N/A,3,0.50,0.50,0.89,1.67,3,1,4,1,1,0,"36,53,72","60",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.50,50,50,25,0,0,25,50,0,75,12.00,3.00,2.45,2.88,2.80,1.50,2.40,4.65,9.50,2.00,1.74,Estadio As Eiroas
1663513200,Sep 18 2022 - 3:00pm,complete,N/A,Coruxo,Cristo Atlético,N/A,3,2.00,0.50,1.44,1.60,0,0,0,0,0,0,"","",4,2,-1,-1,-1,-1,-1,-1,-1,-1,10,15,8,6,2,9,-1,-1,51,49,1.43,1.58,0.50,0,0,0,0,0,0,0,0,50,7.00,3.00,1.83,3.10,4.00,1.29,2.15,3.60,7.00,1.90,1.80,Campo do Vao
1663513200,Sep 18 2022 - 3:00pm,complete,N/A,Polvorín,Real Valladolid II,N/A,3,1.00,0.00,1.00,1.67,2,3,5,3,1,2,"40,59","8,45'2,90'3",6,4,-1,-1,-1,-1,-1,-1,-1,-1,13,19,7,11,6,8,-1,-1,49,51,1.65,2.29,0.50,0,0,0,0,0,0,50,0,0,11.00,-2.00,2.70,3.00,2.45,1.37,2.10,4.30,9.00,1.80,1.86,Estadio Anxo Carro
