team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AD Pasto,Deportivo Pasto,2021,Colombia,38,19,19,0,8,5,3,15,7,8,15,7,8,1.03,1.16,0.89,19,16,14,16,32,48,-16,80,34,46,15,17,19,29,-4,-12,107,114,101,71,90,59,12,7,5,18,7,11,13,7,6,17,9,8,156,99,57,85,39,46,49,51,47,271,161,110,119,72,47,152,89,63,404,186,218,18,8,10,14,5,9,4,3,1,11,5,6,19,11,8,8,3,5,1.37,1.37,1.37,2.11,1.79,2.42,0.84,0.79,0.89,1.26,1,1.53,0.84,0.68,1,0.47,0.42,0.53,0.37,0.26,0.47,33,23,13,8,2,1,17,10,4,3,0,0,16,13,9,5,2,1,5,15,25,30,36,37,2,9,15,16,19,19,3,6,10,14,17,18,87,61,34,21,5,3,89,53,21,16,0,0,84,68,47,26,11,5,13,39,66,79,95,97,11,47,79,84,100,100,16,32,53,74,89,95,24,7,1,10,3,0,14,4,1,63,18,3,53,16,0,74,21,5,21,26,16,8,32,37,26,47,37,58,34,37,32,45,47,42,24,14,10,63,74,53,22,12,10,58,63,53,6,2,4,16,11,21,29,26,32,50,58,42,21,16,26,4.11,5.21,3.00,2.24,2.05,2.42,76,55,50,32,18,13,11,5,1.06,1.29,0.86,1.26,1.09,1.41,50,3,3,2,7,5,3,3,3,3,1,5,2,3,6,7,10,7,7,39,37,42,39,37,42,3
Patriotas FC,Patriotas Boyacá,2021,Colombia,38,19,19,0,9,5,4,8,5,3,21,9,12,0.92,1.05,0.79,18,17,15,18,31,52,-21,83,33,50,14,17,19,33,-5,-16,110,122,101,66,90,52,9,6,3,14,6,8,19,10,9,12,6,6,147,88,59,84,46,38,49,52,46,232,120,112,114,57,57,118,63,55,467,259,208,17,8,9,23,8,15,-6,0,-6,6,3,3,20,12,8,12,4,8,1,1.11,0.89,2.18,1.74,2.63,0.82,0.74,0.89,1.37,1,1.74,1.05,0.84,1.26,0.45,0.42,0.47,0.61,0.42,0.79,34,22,16,6,2,1,16,10,6,1,0,0,18,12,10,5,2,1,4,16,22,32,36,37,3,9,13,18,19,19,1,7,9,14,17,18,89,58,42,16,5,3,84,53,32,5,0,0,95,63,53,26,11,5,11,42,58,84,95,97,16,47,68,95,100,100,5,37,47,74,89,95,22,12,4,10,6,0,12,6,4,58,32,11,53,32,0,63,32,21,24,26,21,9,24,32,16,37,32,42,50,53,47,32,32,32,22,12,10,58,63,53,24,13,11,63,68,58,8,3,5,21,16,26,16,16,16,53,63,42,32,21,42,3.87,4.63,3.11,2.21,2.42,2.00,87,68,57,42,34,32,26,24,0.87,0.91,0.84,1.43,1.23,1.64,45,1,5,3,5,4,3,2,3,5,3,10,3,5,6,3,8,4,10,21,26,16,55,47,63,16
Envigado FC,Envigado,2021,Colombia,38,19,19,0,10,8,2,14,6,8,14,5,9,1.16,1.58,0.74,9,12,17,13,39,46,-7,85,47,38,27,12,20,26,7,-14,87,63,143,74,86,66,9,4,5,21,12,9,12,4,8,11,8,3,123,54,69,122,57,65,47,47,47,298,163,135,140,78,62,158,85,73,479,246,233,16,11,5,23,10,13,-7,1,-8,6,5,1,21,11,10,11,3,8,1.03,1.37,0.68,2.24,2.47,2,1.03,1.42,0.63,1.21,1.05,1.37,1.03,1.11,0.95,0.42,0.58,0.26,0.61,0.53,0.68,34,26,16,7,2,0,18,13,10,4,2,0,16,13,6,3,0,0,4,12,22,31,36,38,1,6,9,15,17,19,3,6,13,16,19,19,89,68,42,18,5,0,95,68,53,21,11,0,84,68,32,16,0,0,11,32,58,82,95,100,5,32,47,79,89,100,16,32,68,84,100,100,24,11,3,13,7,1,11,4,2,63,29,8,68,37,5,58,21,11,26,42,11,26,24,21,26,55,63,47,32,21,42,29,42,16,19,10,9,50,53,47,23,9,14,61,47,74,10,6,4,26,32,21,16,26,5,55,58,53,29,16,42,3.24,2.84,3.63,3.21,3,3.42,76,55,45,34,18,11,8,5,1.24,1.33,1.15,1.52,1.47,1.57,39,4,5,1,2,7,7,2,5,6,5,7,3,4,6,5,5,4,7,37,32,42,37,26,47,0
Alianza Petrolera FC,Alianza Petrolera,2021,Colombia,44,22,22,0,9,7,2,14,5,9,21,10,11,0.93,1.18,0.68,4,14,16,14,43,70,-27,113,59,54,25,18,34,36,-9,-18,92,79,110,57,58,55,8,7,1,23,10,13,14,6,8,15,9,6,198,130,68,105,55,50,48,51,46,302,162,140,172,88,84,130,74,56,546,275,271,18,9,9,33,17,16,-15,-8,-7,10,5,5,13,8,5,21,9,12,0.98,1.05,0.91,2.57,2.68,2.45,0.98,1.14,0.82,1.59,1.55,1.64,1.16,1.18,1.14,0.41,0.41,0.41,0.75,0.77,0.73,43,37,19,10,4,0,21,18,11,6,3,0,22,19,8,4,1,0,1,7,25,34,40,44,1,4,11,16,19,22,0,3,14,18,21,22,98,84,43,23,9,0,95,82,50,27,14,0,100,86,36,18,5,0,2,16,57,77,91,100,5,18,50,73,86,100,0,14,64,82,95,100,35,13,3,17,7,2,18,6,1,80,30,7,77,32,9,82,27,5,20,32,9,10,18,32,5,52,45,59,32,27,36,34,41,27,18,9,9,41,41,41,29,14,15,66,64,68,6,4,2,14,18,9,23,23,23,30,36,23,48,41,55,4.50,5.91,3.09,2.39,2.5,2.27,82,68,61,43,30,27,16,9,1.08,1.18,1.00,1.46,1.25,1.67,50,3,4,4,6,4,6,3,3,10,9,6,7,5,9,5,7,10,12,32,23,41,48,45,50,2
Rionegro Águilas SA,Rionegro Águilas,2021,Colombia,38,19,19,0,9,3,6,12,7,5,17,9,8,1.03,0.84,1.21,15,19,9,15,37,49,-12,86,43,43,17,20,26,23,-9,-3,93,101,86,70,66,74,10,4,6,20,11,9,11,5,6,17,8,9,181,106,75,94,43,51,49,50,48,272,154,118,149,83,66,123,71,52,456,217,239,17,8,9,19,11,8,-2,-3,1,8,3,5,21,11,10,9,5,4,1.18,1.05,1.32,2.26,2.26,2.26,0.97,0.89,1.05,1.29,1.37,1.21,0.95,1,0.89,0.45,0.42,0.47,0.5,0.58,0.42,35,27,15,6,3,0,18,15,8,2,0,0,17,12,7,4,3,0,3,11,23,32,35,38,1,4,11,17,19,19,2,7,12,15,16,19,92,71,39,16,8,0,95,79,42,11,0,0,89,63,37,21,16,0,8,29,61,84,92,100,5,21,58,89,100,100,11,37,63,79,84,100,21,12,3,11,7,1,10,5,2,55,32,8,58,37,5,53,26,11,24,16,32,-7,26,21,32,53,58,47,29,26,32,45,42,47,24,11,13,63,58,68,24,12,12,63,63,63,7,4,3,18,21,16,21,16,26,55,58,53,24,26,21,4.89,5.89,3.95,2.54,2.39,2.68,84,78,65,46,35,30,24,16,1.12,1.31,0.94,1.39,1.23,1.56,37,5,4,3,3,4,4,6,5,3,5,1,4,3,7,8,4,6,11,32,37,26,45,47,42,8
CD La Equidad Seguros SA,La Equidad,2021,Colombia,42,21,21,0,15,10,5,15,7,8,12,4,8,1.43,1.76,1.1,13,6,10,7,46,44,2,90,45,45,25,21,20,24,5,-3,82,76,90,86,95,79,15,10,5,22,11,11,10,3,7,21,12,9,187,104,83,137,78,59,48,49,47,316,173,143,148,78,70,168,95,73,551,269,282,20,12,8,19,6,13,1,6,-5,13,9,4,19,8,11,10,4,6,1.38,1.67,1.1,2.14,2.14,2.14,1.1,1.19,1,1.05,0.95,1.14,0.93,0.86,1,0.48,0.57,0.38,0.45,0.29,0.62,37,25,16,8,2,1,18,12,8,4,1,1,19,13,8,4,1,0,5,17,26,34,40,41,3,9,13,17,20,20,2,8,13,17,20,21,88,60,38,19,5,2,86,57,38,19,5,5,90,62,38,19,5,0,12,40,62,81,95,98,14,43,62,81,95,95,10,38,62,81,95,100,25,10,3,13,3,1,12,7,2,60,24,7,62,14,5,57,33,10,36,48,24,9,36,48,24,52,52,52,24,14,33,50,57,43,28,16,12,67,76,57,26,12,14,62,57,67,5,1,4,12,5,19,31,43,19,45,38,52,24,19,29,4.45,4.95,3.95,3.26,3.71,2.81,69,60,48,38,28,21,10,10,1.26,1.39,1.12,1.25,1.15,1.34,57,3,5,2,6,4,4,12,4,6,4,2,4,5,7,8,5,3,6,36,33,38,29,19,38,5
Jaguares de Córdoba FC,Jaguares de Córdoba,2021,Colombia,38,19,19,0,14,9,5,10,5,5,14,5,9,1.37,1.68,1.05,10,9,12,11,44,47,-3,91,45,46,25,19,20,27,5,-8,78,68,90,73,86,63,10,6,4,18,8,10,14,7,7,16,11,5,153,81,72,112,57,55,48,51,45,260,146,114,142,86,56,118,60,58,444,232,212,22,14,8,23,7,16,-1,7,-8,9,7,2,18,9,9,11,3,8,1.18,1.58,0.79,2.39,2.37,2.42,1.16,1.32,1,1.24,1.05,1.42,1.18,1.11,1.26,0.58,0.74,0.42,0.61,0.37,0.84,34,27,15,8,5,1,17,14,6,3,3,1,17,13,9,5,2,0,4,11,23,30,33,37,2,5,13,16,16,18,2,6,10,14,17,19,89,71,39,21,13,3,89,74,32,16,16,5,89,68,47,26,11,0,11,29,61,79,87,97,11,26,68,84,84,95,11,32,53,74,89,100,27,14,3,12,6,2,15,8,1,71,37,8,63,32,11,79,42,5,37,47,26,15,26,32,21,47,42,53,37,37,37,42,58,26,18,12,6,47,63,32,21,10,11,55,53,58,10,4,6,26,21,32,24,37,11,47,47,47,29,16,42,4.03,4.26,3.79,2.95,3,2.89,84,74,66,45,28,18,5,3,0.93,1.04,0.82,1.41,1.23,1.60,45,4,5,4,5,6,4,5,6,5,1,9,5,6,3,3,3,9,8,26,26,26,37,26,47,0
Deportivo Boyacá Chicó FC SA,Boyacá Chicó,2021,Colombia,18,9,9,0,5,4,1,4,2,2,9,3,6,1.06,1.56,0.56,13,20,20,20,17,20,-3,37,16,21,10,7,6,14,4,-7,96,81,115,81,134,58,6,4,2,6,3,3,9,4,5,6,4,2,69,29,40,45,25,20,50,53,47,128,59,69,71,35,36,57,24,33,246,128,118,10,7,3,10,2,8,0,5,-5,4,4,0,10,5,5,4,0,4,1.22,1.89,0.56,2.06,1.78,2.33,0.94,1.11,0.78,1.11,0.67,1.56,1.11,1,1.22,0.56,0.78,0.33,0.56,0.22,0.89,15,12,7,1,1,1,7,5,4,0,0,0,8,7,3,1,1,1,3,6,11,17,17,17,2,4,5,9,9,9,1,2,6,8,8,8,83,67,39,6,6,6,78,56,44,0,0,0,89,78,33,11,11,11,17,33,61,94,94,94,22,44,56,100,100,100,11,22,67,89,89,89,11,6,2,5,3,1,6,3,1,61,33,11,56,33,11,67,33,11,28,44,11,29,33,44,22,33,33,33,50,44,56,33,44,22,10,7,3,56,78,33,11,4,7,61,44,78,4,2,2,22,22,22,22,44,0,56,56,56,22,0,44,4.06,3.22,5.00,2.5,2.78,2.22,59,35,18,6,6,0,0,0,0.90,0.89,0.92,0.94,0.96,0.93,33,2,1,3,3,1,1,3,3,0,1,4,0,2,5,2,3,1,2,22,22,22,50,33,67,0
CS Deportiva y Cultural de Pereira,Deportivo Pereira,2021,Colombia,44,22,22,0,14,7,7,14,10,4,16,5,11,1.27,1.41,1.14,4,11,7,9,46,58,-12,104,44,60,23,23,21,37,2,-14,86,86,86,68,95,54,15,10,5,20,9,11,15,8,7,18,8,10,176,83,93,114,56,58,48,49,46,341,203,138,182,103,79,159,100,59,478,247,231,17,8,9,26,10,16,-9,-2,-7,11,5,6,19,11,8,14,6,8,1.18,1.18,1.18,2.36,2,2.73,1.05,1.05,1.05,1.32,0.95,1.68,0.98,0.82,1.14,0.39,0.36,0.41,0.59,0.45,0.73,38,28,17,9,7,4,17,12,6,4,3,2,21,16,11,5,4,2,6,16,27,35,37,40,5,10,16,18,19,20,1,6,11,17,18,20,86,64,39,20,16,9,77,55,27,18,14,9,95,73,50,23,18,9,14,36,61,80,84,91,23,45,73,82,86,91,5,27,50,77,82,91,26,12,4,11,4,2,15,8,2,59,27,9,50,18,9,68,36,9,32,32,32,14,34,45,23,45,41,50,34,36,32,41,36,45,27,16,11,61,73,50,30,15,15,68,68,68,5,2,3,11,9,14,25,23,27,43,50,36,32,27,36,4.00,3.77,4.23,2.59,2.55,2.64,80,70,56,45,32,23,16,11,1.28,1.40,1.14,1.46,1.43,1.50,59,4,2,4,3,6,8,8,3,8,7,4,6,8,3,10,5,7,8,32,45,18,36,23,50,2
CD Atlético Huila,Atlético Huila,2021,Colombia,20,10,10,0,2,1,1,4,3,1,14,6,8,0.5,0.6,0.4,20,21,21,21,12,35,-23,47,30,17,9,3,21,14,-12,-11,150,100,300,51,43,64,2,1,1,8,6,2,11,4,7,5,3,2,88,45,43,33,16,17,51,52,51,133,74,59,67,39,28,66,35,31,206,105,101,6,5,1,13,8,5,-7,-3,-4,3,2,1,10,5,5,7,3,4,0.95,1.1,0.8,2.35,3,1.7,0.6,0.9,0.3,1.75,2.1,1.4,0.95,1.3,0.6,0.3,0.5,0.1,0.65,0.8,0.5,19,13,8,5,2,0,9,9,6,4,2,0,10,4,2,1,0,0,1,7,12,15,18,20,1,1,4,6,8,10,0,6,8,9,10,10,95,65,40,25,10,0,90,90,60,40,20,0,100,40,20,10,0,0,5,35,60,75,90,100,10,10,40,60,80,100,0,60,80,90,100,100,12,5,2,7,4,2,5,1,0,60,25,10,70,40,20,50,10,0,10,10,10,15,10,10,10,40,60,20,55,40,70,25,30,20,10,4,6,50,40,60,15,6,9,75,60,90,3,3,0,15,30,0,15,20,10,50,50,50,35,30,40,4.40,4.50,4.30,1.65,1.6,1.70,80,70,60,35,20,10,5,0,1.05,1.15,0.95,1.24,1.11,1.38,65,1,1,3,0,1,0,0,1,5,3,6,0,1,4,5,2,7,7,20,30,10,70,60,80,0
Corporación Deportes Quindío,Deportes Quindío,2021,Colombia,20,10,10,0,6,5,1,4,1,3,10,4,6,1.1,1.6,0.6,16,18,19,19,18,24,-6,42,28,14,14,4,14,10,0,-6,100,64,225,75,64,90,6,3,3,9,6,3,7,1,6,7,5,2,89,45,44,50,21,29,51,52,51,138,84,54,80,49,31,58,35,23,195,93,102,11,8,3,13,8,5,-2,0,-2,6,5,1,7,1,6,7,4,3,1.25,1.6,0.9,2.1,2.8,1.4,0.9,1.4,0.4,1.2,1.4,1,1.2,1.6,0.8,0.55,0.8,0.3,0.65,0.8,0.5,18,11,8,3,2,0,10,8,6,2,2,0,8,3,2,1,0,0,2,9,12,17,18,20,0,2,4,8,8,10,2,7,8,9,10,10,90,55,40,15,10,0,100,80,60,20,20,0,80,30,20,10,0,0,10,45,60,85,90,100,0,20,40,80,80,100,20,70,80,90,100,100,15,6,3,10,4,2,5,2,1,75,30,15,100,40,20,50,20,10,30,50,10,20,30,30,30,45,60,30,35,10,60,35,50,20,10,4,6,50,40,60,10,3,7,50,30,70,5,3,2,25,30,20,30,50,10,35,10,60,35,40,30,4.45,4.50,4.40,2.5,2.1,2.90,85,75,65,60,45,30,20,10,1.25,1.44,1.04,1.35,1.13,1.59,35,2,3,2,1,3,3,0,3,1,2,4,1,1,6,2,4,0,4,20,10,30,50,40,60,5
