HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Cholet,Bourg-en-Bresse,2,1,1,1
Stade Briochin,Créteil,0,1,0,0
Orléans,Boulogne,2,1,1,1
Villefranche,Laval,1,2,1,1
Le Mans,Châteauroux,1,0,0,0
Avranches,Sète,2,1,1,1
Annecy,Concarneau,0,0,0,0
Orléans,Sedan,4,2,1,1
Le Mans,Cholet,1,0,0,0
Villefranche,Sète,0,2,0,0
Boulogne,Red Star,0,4,0,1
Avranches,Le Mans,0,1,0,0
Cholet,Créteil,3,2,1,1
Concarneau,Orléans,0,1,0,0
Bourg-en-Bresse,Avranches,2,0,0,0
Red Star,Stade Briochin,1,1,1,0
Sète,Le Mans,0,0,0,0
Laval,Bastia-Borgo,1,0,0,0
Châteauroux,Créteil,4,1,1,1
Sedan,Cholet,3,1,1,1
Chambly,Orléans,2,2,1,1
Boulogne,Annecy,1,1,1,0
Concarneau,Villefranche,2,0,0,0
Sète,Cholet,0,1,0,0
Annecy,Chambly,3,2,1,1
Bastia-Borgo,Concarneau,1,1,1,0
Stade Briochin,Châteauroux,2,0,0,0
Le Mans,Bourg-en-Bresse,1,2,1,1
Avranches,Sedan,0,3,0,1
Cholet,Laval,1,3,1,1
Orléans,Red Star,1,0,0,0
Sète,Châteauroux,0,1,0,0
Laval,Avranches,0,0,0,0
Orléans,Stade Briochin,0,0,0,0
Sedan,Le Mans,2,0,0,0
Chambly,Villefranche,0,2,0,0
Concarneau,Cholet,2,0,0,0
Bourg-en-Bresse,Créteil,3,2,1,1
Red Star,Annecy,3,0,0,1
Bastia-Borgo,Chambly,4,0,0,1
Cholet,Boulogne,2,2,1,1
Stade Briochin,Sète,3,1,1,1
Créteil,Sedan,1,2,1,1
Châteauroux,Bourg-en-Bresse,1,1,1,0
Villefranche,Red Star,0,0,0,0
Avranches,Concarneau,1,1,1,0
Le Mans,Laval,2,0,0,0
Annecy,Orléans,0,0,0,0
Créteil,Sète,3,1,1,1
Villefranche,Boulogne,2,1,1,1
Annecy,Stade Briochin,2,4,1,1
Red Star,Bastia-Borgo,5,2,1,1
Sedan,Châteauroux,0,2,0,0
Chambly,Cholet,2,2,1,1
Boulogne,Avranches,1,2,1,1
Bourg-en-Bresse,Sète,1,1,1,0
Laval,Créteil,3,1,1,1
Orléans,Villefranche,1,2,1,1
Concarneau,Le Mans,0,1,0,0
Bastia-Borgo,Orléans,2,2,1,1
Sète,Sedan,1,1,1,0
Cholet,Red Star,0,1,0,0
Stade Briochin,Bourg-en-Bresse,1,0,0,0
Créteil,Concarneau,2,2,1,1
Villefranche,Annecy,1,2,1,1
Le Mans,Boulogne,1,0,0,0
Avranches,Chambly,1,0,0,0
Châteauroux,Laval,1,1,1,0
Annecy,Bastia-Borgo,3,1,1,1
Red Star,Avranches,2,1,1,1
