HomeTeam,AwayTeam
AFC Fylde,Eastleigh
Aldershot Town,Gateshead
Bromley FC,Oldham Athletic
Ebbsfleet Utd,Chesterfield
Halifax,Dorking Wanderers
Hartlepool United,Woking
Maidenhead United,Boreham Wood
Oxford City,Dagenham & Red.
Rochdale,Barnet
Wealdstone,Altrincham
York City,Southend United
Kidderminster,Solihull Moors
